package_name	germany_version_name	germany_version_code	vietnam_version_name	vietnam_version_code	nigeria_version_name	nigeria_version_code	pakistan_version_name	pakistan_version_code	india_version_name	india_version_code	usa_version_name	usa_version_code	turkey_version_name	turkey_version_code	egypt_version_name	egypt_version_code	bangladesh_version_name	bangladesh_version_code	saudi_version_name	saudi_version_code
ae.brandsforless.android	5.2.3	413	5.2.3	413	5.2.3	413	5.2.3	413	5.2.2	412	5.2.2	412	5.2.2	412	5.2.3	413	5.2.3	413	5.2.3	413
air.bg.lan.Monopoli	7.0.11	7000011	7.0.09	7000009	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011	7.0.11	7000011
air.com.bigwigmedia.hotdogbush	2.1.179	2001179	2.1.229	2001229	2.1.179	2001179	2.1.179	2001179	2.1.179	2001179	2.1.179	2001179	2.1.229	2001229	2.1.179	2001179	2.1.179	2001179	2.1.179	2001179
air.com.spilgames.TrollFaceQuestVideoGames2	224.1.52	224001052	224.1.52	224001052	224.1.52	224001052	224.1.52	224001052	224.1.52	224001052	224.1.52	224001052	222.44.2	222044002	224.1.52	224001052	224.1.52	224001052	224.1.52	224001052
alarm.clock.night.watch.talking	3.1.9	269	3.1.4	150	3.1.9	269	3.1.9	269	3.1.4	150	3.1.9	269	3.1.4	150	3.1.4	150	3.1.9	269	3.1.9	269
alldocumentsreader.documentviewer	1.3.0	30	1.3.0	30	1.3.0	30	1.3.0	30	1.3.0	30	1.2.9	29	1.3.0	30	1.3.0	30	1.3.0	30	1.3.0	30
al.myvodafone.android	8.0.7	2024103001	8.0.6	2024081315	8.0.7	2024103001	8.0.7	2024103001	8.0.7	2024103001	8.0.6	2024081315	8.0.6	2024081315	8.0.7	2024103001	8.0.7	2024103001	8.0.7	2024103001
amazon.shop.barcode.scanner	4.5.48	4548	4.5.38	4538	4.5.48	4548	4.5.48	4548	4.5.38	4538	4.5.38	4538	4.5.38	4538	4.5.48	4548	4.5.48	4548	4.5.48	4548
and.lihuhu.threedotscollectemall	2.5.3	35	2.5.1	32	2.5.3	35	2.5.4	36	2.5.3	35	2.5.3	35	2.5.3	35	2.5.3	35	2.5.3	35	2.5.4	36
anna.gardenphotoeditor	2.0	11	2.0	11	2.0	11	2.0	11	2.0	11	2.1	12	2.0	11	2.0	11	2.1	12	2.1	12
an.RussianKazTranslate	24.10	71	24.10	71	24.10.2	72	24.10	71	24.10	71	24.10	71	24.10.2	72	24.10	71	24.10	71	24.10.2	72
any.splitscreen	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.7	29	1.2.9	31
app.compiler	1.1.65	65	1.1.65	65	1.1.66	66	1.1.65	65	1.1.65	65	1.1.66	66	1.1.65	65	1.1.65	65	1.1.65	65	1.1.66	66
app.com.syarah	1.36	490	1.36	490	1.36	490	1.36	490	1.35.1	484	1.35.1	484	1.35.1	484	1.36	490	1.36	490	1.36	490
